Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9352.4811,,,-5.15E-09,,1.00E+12,1.00E+08,-5151.36,-0.515136,34,11.0326,1.00E+06,0.001902
1,9352.48563,,,1.37E-09,,,,1374.83,0.137483,34,11.0326,,0.001619
2,9352.4902,,,6.82E-09,,,,6822.13,0.682213,34,11.0326,,0.002017
3,9352.49423,,,1.01E-08,,,,10073.6,1.00736,34,11.0326,,0.002081
4,9352.49846,,,1.00E-08,,,,10014.4,1.00144,34,11.0326,,0.001979
5,9352.50304,,,6.45E-09,,,,6446.89,0.644689,34,11.0326,,0.001783
6,9352.50715,,,1.18E-09,,,,1180.89,0.118089,34,11.0326,,0.001676
7,9352.5117,,,-3.72E-09,,,,-3717.76,-0.371776,34,11.0326,,0.002051
8,9352.51648,,,-6.21E-09,,,,-6211.13,-0.621113,34,11.0326,,0.002433
9,9352.52106,,,-5.48E-09,,,,-5484.58,-0.548458,34,11.0326,,0.002415
10,9352.52553,,,-2.75E-09,,,,-2751.73,-0.275173,34,11.0326,,0.001987
11,9352.53069,,,5.83E-10,,,,582.845,0.0582845,34,11.0326,,0.002438
12,9352.53537,,,3.13E-09,,,,3133.3,0.31333,34,11.0326,,0.002229
13,9352.54037,,,4.14E-09,,,,4144.89,0.414489,34,11.0326,,0.002186
14,9352.54525,,,3.52E-09,,,,3515.55,0.351555,34,11.0326,,0.001892
15,9352.54999,,,1.18E-09,,,,1176.85,0.117685,34,11.0326,,0.002012
16,9352.55494,,,-2.92E-09,,,,-2916.37,-0.291637,34,11.0326,,0.002074
17,9352.55982,,,-8.08E-09,,,,-8079.45,-0.807945,34,11.0326,,0.001618
18,9352.56451,,,-1.27E-08,,,,-12695.1,-1.26951,34,11.0326,,0.002201
19,9352.56998,,,-1.51E-08,,,,-15100.5,-1.51005,34,11.0326,,0.001957
20,9352.5743,,,-1.37E-08,,,,-13713.6,-1.37136,34,11.0326,,0.002042
21,9352.57945,,,-8.71E-09,,,,-8711.72,-0.871172,34,11.0326,,0.001535
22,9352.58567,,,-2.04E-09,,,,-2038.48,-0.203848,34,11.0326,,0.001726
23,9352.59054,,,4.27E-09,,,,4268.57,0.426857,34,11.0326,,0.002069
24,9352.59554,,,8.25E-09,,,,8251.87,0.825187,34,11.0326,,0.00195
25,9352.60043,,,9.41E-09,,,,9409.61,0.940961,34,11.0326,,0.001635
26,9352.60624,,,8.34E-09,,,,8337,0.8337,34,11.0326,,0.00159
27,9352.61123,,,5.67E-09,,,,5673.36,0.567336,34,11.0326,,0.002193
28,9352.61642,,,2.07E-09,,,,2072.81,0.207281,34,11.0326,,0.002155
29,9352.62177,,,-1.64E-09,,,,-1637.87,-0.163787,34,11.0326,,0.002086
30,9352.62718,,,-4.46E-09,,,,-4461.78,-0.446178,34,11.0326,,0.002063
31,9352.63233,,,-5.40E-09,,,,-5399.04,-0.539904,34,11.0326,,0.001834
32,9352.638,,,-3.49E-09,,,,-3485.01,-0.348501,34,11.0326,,0.001715
33,9352.6433,,,1.04E-09,,,,1039.19,0.103919,34,11.0326,,0.001839
34,9352.64873,,,6.48E-09,,,,6481.95,0.648195,34,11.0326,,0.001961
35,9352.65436,,,1.11E-08,,,,11051.2,1.10512,34,11.0326,,0.001911
36,9352.65909,,,1.29E-08,,,,12945.4,1.29454,34,11.0326,,0.001856
37,9352.66458,,,1.14E-08,,,,11369.3,1.13693,34,11.0326,,0.002081
38,9352.67046,,,7.62E-09,,,,7623.86,0.762386,34,11.0326,,0.001776
39,9352.6761,,,3.27E-09,,,,3268.95,0.326895,34,11.0326,,0.002047
40,9352.68152,,,-1.46E-10,,,,-146.187,-0.0146187,34,11.0326,,0.002056
41,9352.68706,,,-1.54E-09,,,,-1540.34,-0.154034,34,11.0326,,0.001748
42,9352.69255,,,-1.23E-09,,,,-1230.79,-0.123079,34,11.0326,,0.001932
43,9352.69833,,,2.04E-10,,,,203.66,0.020366,34,11.0326,,0.002102
44,9352.70393,,,2.19E-09,,,,2185.08,0.218508,34,11.0326,,0.001664
45,9352.70922,,,4.13E-09,,,,4133.99,0.413399,34,11.0326,,0.001867
46,9352.71516,,,5.58E-09,,,,5582.47,0.558247,34,11.0326,,0.001836
47,9352.72079,,,6.41E-09,,,,6411.11,0.641111,34,11.0326,,0.00194
48,9352.72648,,,6.57E-09,,,,6566.96,0.656696,34,11.0326,,0.001957
49,9352.73194,,,6.00E-09,,,,5997.75,0.599775,34,11.0326,,0.00188
50,9352.73816,,,4.68E-09,,,,4683.96,0.468396,34,11.0326,,0.002114
51,9352.74405,,,2.94E-09,,,,2935.32,0.293532,34,11.0326,,0.001956
52,9352.74935,,,1.25E-09,,,,1254.06,0.125406,34,11.0326,,0.001732
53,9352.75534,,,1.43E-10,,,,143.247,0.0143247,34,11.0326,,0.001888
54,9352.76099,,,1.05E-10,,,,105.136,0.0105136,34,11.0326,,0.001676
55,9352.76667,,,1.62E-09,,,,1620.55,0.162055,34,11.0326,,0.002017
56,9352.77231,,,4.59E-09,,,,4586.51,0.458651,34,11.0326,,0.001949
57,9352.77878,,,8.28E-09,,,,8276.78,0.827678,34,11.0326,,0.001903
58,9352.78435,,,1.19E-08,,,,11931,1.1931,34,11.0326,,0.001841
59,9352.79045,,,1.48E-08,,,,14783.2,1.47832,34,11.0326,,0.001795
60,9352.79615,,,1.62E-08,,,,16176.9,1.61769,34,11.0326,,0.001867
61,9352.80196,,,1.61E-08,,,,16148.1,1.61481,34,11.0326,,0.001876
62,9352.8075,,,1.50E-08,,,,14997.1,1.49971,34,11.0326,,0.001919
63,9352.81386,,,1.30E-08,,,,13025.9,1.30259,34,11.0326,,0.001901
64,9352.82,,,1.05E-08,,,,10537.2,1.05372,34,11.0326,,0.002071
65,9352.82583,,,7.84E-09,,,,7836.55,0.783655,34,11.0326,,0.001912
66,9352.83158,,,5.25E-09,,,,5247.46,0.524746,34,11.0326,,0.001844
67,9352.83762,,,3.10E-09,,,,3102.42,0.310242,34,11.0326,,0.001772
68,9352.84377,,,1.74E-09,,,,1736.97,0.173697,34,11.0326,,0.001881
69,9352.84966,,,1.49E-09,,,,1485.31,0.148531,34,11.0326,,0.001912
70,9352.85542,,,2.39E-09,,,,2385.05,0.238505,34,11.0326,,0.002057
71,9352.86157,,,3.85E-09,,,,3846.86,0.384686,34,11.0326,,0.001793
72,9352.86759,,,5.20E-09,,,,5200.14,0.520014,34,11.0326,,0.001963
73,9352.87352,,,5.77E-09,,,,5771.68,0.577168,34,11.0326,,0.002072
74,9352.87947,,,4.89E-09,,,,4892.03,0.489203,34,11.0326,,0.002065
75,9352.88592,,,2.41E-09,,,,2409.44,0.240944,34,11.0326,,0.001925
76,9352.89185,,,-8.67E-10,,,,-867.437,-0.0867437,34,11.0326,,0.001858
77,9352.89803,,,-4.03E-09,,,,-4028.21,-0.402821,34,11.0326,,0.002014
78,9352.90407,,,-6.17E-09,,,,-6169.61,-0.616961,34,11.0326,,0.002228
79,9352.91042,,,-6.39E-09,,,,-6393.67,-0.639367,34,11.0326,,0.002087
80,9352.91675,,,-4.25E-09,,,,-4245.88,-0.424588,34,11.0326,,0.002065
81,9352.92287,,,-5.16E-10,,,,-516.483,-0.0516483,34,11.0326,,0.002174
82,9352.92882,,,3.78E-09,,,,3784.82,0.378482,34,11.0326,,0.002392
83,9352.93503,,,7.64E-09,,,,7640.02,0.764002,34,11.0326,,0.002549
84,9352.94124,,,1.00E-08,,,,10023.1,1.00231,34,11.0326,,0.00268
85,9352.94744,,,1.03E-08,,,,10297.4,1.02974,34,11.0326,,0.002801
86,9352.9532,,,8.98E-09,,,,8976.15,0.897615,34,11.0326,,0.002938
87,9352.95958,,,6.78E-09,,,,6783.67,0.678367,34,11.0326,,0.002717
88,9352.96577,,,4.44E-09,,,,4443.77,0.444377,34,11.0326,,0.002901
89,9352.97186,,,2.68E-09,,,,2677.63,0.267763,34,11.0326,,0.003252
90,9352.9777,,,2.20E-09,,,,2200.52,0.220052,34,11.0326,,0.003327
91,9352.98436,,,3.32E-09,,,,3319.33,0.331933,34,11.0326,,0.003675
92,9352.99027,,,5.58E-09,,,,5575.17,0.557517,34,11.0326,,0.003873
93,9352.99682,,,8.42E-09,,,,8424.5,0.84245,34,11.0326,,0.004258
94,9353.0028,,,1.13E-08,,,,11321.6,1.13216,34,11.0326,,0.00466
95,9353.00914,,,1.37E-08,,,,13718,1.3718,34,11.0326,,0.005281
