Spectrum Number,Spectrum Name,Frequency (MHz),Wavenumber (cm-1),Pressure (Torr),Temperature (C),Tau (us),Tau Error (%),Alpha (ppm/cm),Model (ppm/cm),Residuals (ppm/cm),QF,Background,CIA (ppm/cm)
1,H2O-line1,280384629.0603946,9352.62451,5.56567,34,-204640.54920132027,0.0,-0.000163,-2.1993885145579165e-05,0.00014100611485442084,104.0,0.00012656436629028515,0.0
1,H2O-line1,280384747.7782079,9352.62847,5.56567,34,231641.7327764945,0.0,0.000144,-7.904648354389881e-06,-0.00015190464835438988,104.0,0.00012595918312565237,0.0
1,H2O-line1,280384882.9846065,9352.63298,5.56567,34,-186348.6565352805,0.0,-0.000179,5.56003027049574e-06,0.00018456003027049573,104.0,0.0001252699467436091,0.0
1,H2O-line1,280385019.09038246,9352.63752,5.56567,34,345304.4463748986,0.0,9.66e-05,1.6494036001401792e-05,-8.010596399859821e-05,104.0,0.00012457612564073747,0.0
1,H2O-line1,280385153.0976111,9352.64199,5.56567,34,160367.35346065002,0.0,0.000208,2.5175432097112948e-05,-0.00018282456790288704,104.0,0.00012389300222007666,0.0
1,H2O-line1,280385293.10068905,9352.64666,5.56567,34,-236570.28028237735,0.0,-0.000141,3.255334321405342e-05,0.00017355334321405343,104.0,0.0001231793139930595,0.0
1,H2O-line1,280385413.6172572,9352.65068,5.56567,34,-260596.94937355633,0.0,-0.000128,3.7840809308347474e-05,0.00016584080930834747,104.0,0.00012256496138649204,0.0
1,H2O-line1,280385571.60788256,9352.65595,5.56567,34,86640.02472679275,0.0,0.000385,4.362790750151108e-05,-0.0003413720924984889,104.0,0.00012175957874068378,0.0
1,H2O-line1,280385712.2105453,9352.66064,5.56567,34,149580.31174805024,0.0,0.000223,4.792211354235536e-05,-0.00017507788645764464,104.0,0.00012104283403311438,0.0
1,H2O-line1,280385852.8132081,9352.66533,5.56567,34,230044.2035849325,0.0,0.000145,5.1579060269488255e-05,-9.342093973051175e-05,104.0,0.00012032608932554498,0.0
1,H2O-line1,280385999.7115125,9352.67023,5.56567,34,102007.36856212601,0.0,0.000327,5.4847603852904215e-05,-0.00027215239614709576,104.0,0.0001195772515713431,0.0
1,H2O-line1,280386140.9137603,9352.67494,5.56567,34,796095.6925970215,0.0,4.19e-05,0.00034850702399327695,0.00030660702399327696,104.0,0.00011885745038294347,0.0
1,H2O-line1,280386280.9168381,9352.67961,5.56567,34,57215.11066863672,0.0,0.000583,0.00035437280329000243,-0.00022862719670999754,104.0,0.00011814376215620429,0.0
1,H2O-line1,280386442.504973,9352.685,5.56567,34,161142.0749749527,0.0,0.000207,0.0003608834783856053,0.00015388347838560533,104.0,0.00011732004062652663,0.0
1,H2O-line1,280386572.3151073,9352.68933,5.56567,34,230044.2035849325,0.0,0.000145,0.0003659578327369719,0.0002209578327369719,104.0,0.00011665831257028748,0.0
1,H2O-line1,280386726.1086383,9352.69446,5.56567,34,327023.6227432863,0.0,0.000102,0.0003718344373100015,0.0002698344373100015,104.0,0.0001158743252886229,0.0
1,H2O-line1,280386877.803622,9352.69952,5.56567,34,47788.55232065215,0.0,0.000698,0.0003775257123624023,-0.0003204742876375978,104.0,0.00011510103568944712,0.0
1,H2O-line1,280387014.50898284,9352.70408,5.56567,34,113844.40109151947,0.0,0.000293,0.00038259363763370796,8.959363763370794e-05,104.0,0.00011440415810602325,0.0
1,H2O-line1,280387171.90002334,9352.70933,5.56567,34,78301.43079768828,0.0,0.000426,0.00038838586748449254,-3.761413251550746e-05,104.0,0.00011360183194076724,0.0
1,H2O-line1,280387319.69770515,9352.71426,5.56567,34,114234.27917744934,0.0,0.000292,8.69534479220535e-05,-0.0002050465520779465,104.0,0.00011284840946545902,0.0
1,H2O-line1,280387488.1810665,9352.71988,5.56567,34,2647334.0888742227,0.0,1.26e-05,8.865643331338893e-05,7.605643331338893e-05,104.0,0.00011198953840859662,0.0
1,H2O-line1,280387637.777503,9352.72487,5.56567,34,337274.11041269166,0.0,9.89e-05,9.008643054375138e-05,-8.81356945624862e-06,104.0,0.00011122694649163167,0.0
