Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
0,9506.08498,,,-1.09716e-09,,1000000000000.0,,-1097.1599999999999,,27.85,75.0062
1,9506.08598,,,-3.06383e-09,,,,-3063.8300000000004,,27.85,75.0062
2,9506.08698,,,-4.92211e-09,,,,-4922.11,,27.85,75.0062
3,9506.08798,,,-6.5236e-09,,,,-6523.6,,27.85,75.0062
4,9506.08898,,,-7.72029e-09,,,,-7720.290000000001,,27.85,75.0062
5,9506.08998,,,-8.36422e-09,,,,-8364.220000000001,,27.85,75.0062
6,9506.09098,,,-8.30762e-09,,,,-8307.62,,27.85,75.0062
7,9506.09198,,,-7.48921e-09,,,,-7489.209999999999,,27.85,75.0062
8,9506.09298,,,-6.03962e-09,,,,-6039.62,,27.85,75.0062
9,9506.09399,,,-4.11503e-09,,,,-4115.03,,27.85,75.0062
10,9506.09499,,,-1.87188e-09,,,,-1871.8799999999999,,27.85,75.0062
11,9506.09599,,,5.32854e-10,,,,532.854,,27.85,75.0062
12,9506.09699,,,2.94144e-09,,,,2941.44,,27.85,75.0062
13,9506.09799,,,5.1957e-09,,,,5195.7,,27.85,75.0062
14,9506.09899,,,7.16605e-09,,,,7166.049999999999,,27.85,75.0062
15,9506.09999,,,8.77264e-09,,,,8772.64,,27.85,75.0062
16,9506.10099,,,9.94039e-09,,,,9940.39,,27.85,75.0062
17,9506.10199,,,1.05943e-08,,,,10594.3,,27.85,75.0062
18,9506.10299,,,1.06597e-08,,,,10659.699999999999,,27.85,75.0062
19,9506.10399,,,1.00576e-08,,,,10057.6,,27.85,75.0062
20,9506.10499,,,8.70716e-09,,,,8707.16,,27.85,75.0062
21,9506.10599,,,6.67656e-09,,,,6676.56,,27.85,75.0062
22,9506.10699,,,4.23639e-09,,,,4236.39,,27.85,75.0062
23,9506.10799,,,1.6708e-09,,,,1670.8,,27.85,75.0062
24,9506.10899,,,-7.37483e-10,,,,-737.4830000000001,,27.85,75.0062
25,9506.10999,,,-2.70712e-09,,,,-2707.12,,27.85,75.0062
26,9506.111,,,-3.9577e-09,,,,-3957.7000000000003,,27.85,75.0062
27,9506.112,,,-4.2089e-09,,,,-4208.900000000001,,27.85,75.0062
28,9506.113,,,-3.26822e-09,,,,-3268.2200000000003,,27.85,75.0062
29,9506.114,,,-1.35807e-09,,,,-1358.07,,27.85,75.0062
30,9506.115,,,1.18018e-09,,,,1180.18,,27.85,75.0062
31,9506.116,,,4.00462e-09,,,,4004.62,,27.85,75.0062
32,9506.117,,,6.77162e-09,,,,6771.62,,27.85,75.0062
33,9506.118,,,9.13552e-09,,,,9135.52,,27.85,75.0062
34,9506.119,,,1.0749e-08,,,,10749.0,,27.85,75.0062
35,9506.12,,,1.12669e-08,,,,11266.9,,27.85,75.0062
36,9506.121,,,1.05736e-08,,,,10573.6,,27.85,75.0062
37,9506.122,,,8.94207e-09,,,,8942.070000000002,,27.85,75.0062
38,9506.123,,,6.68331e-09,,,,6683.3099999999995,,27.85,75.0062
39,9506.124,,,4.10837e-09,,,,4108.37,,27.85,75.0062
40,9506.125,,,1.53206e-09,,,,1532.06,,27.85,75.0062
41,9506.126,,,-7.28188e-10,,,,-728.188,,27.85,75.0062
42,9506.12701,,,-2.35568e-09,,,,-2355.68,,27.85,75.0062
43,9506.12801,,,-3.04016e-09,,,,-3040.16,,27.85,75.0062
44,9506.12901,,,-2.6838e-09,,,,-2683.8,,27.85,75.0062
45,9506.13001,,,-1.44677e-09,,,,-1446.77,,27.85,75.0062
46,9506.13101,,,4.95777e-10,,,,495.777,,27.85,75.0062
47,9506.13201,,,2.96859e-09,,,,2968.59,,27.85,75.0062
48,9506.13301,,,5.79579e-09,,,,5795.79,,27.85,75.0062
49,9506.13401,,,8.80045e-09,,,,8800.45,,27.85,75.0062
50,9506.13501,,,1.18042e-08,,,,11804.2,,27.85,75.0062
51,9506.13601,,,1.46255e-08,,,,14625.5,,27.85,75.0062
52,9506.13701,,,1.71271e-08,,,,17127.100000000002,,27.85,75.0062
53,9506.13801,,,1.92392e-08,,,,19239.199999999997,,27.85,75.0062
54,9506.13901,,,2.0897e-08,,,,20897.0,,27.85,75.0062
55,9506.14001,,,2.20359e-08,,,,22035.9,,27.85,75.0062
56,9506.14101,,,2.25911e-08,,,,22591.1,,27.85,75.0062
57,9506.14201,,,2.24988e-08,,,,22498.8,,27.85,75.0062
58,9506.14301,,,2.16954e-08,,,,21695.399999999998,,27.85,75.0062
59,9506.14402,,,2.01183e-08,,,,20118.300000000003,,27.85,75.0062
60,9506.14502,,,1.7737e-08,,,,17737.0,,27.85,75.0062
61,9506.14602,,,1.47325e-08,,,,14732.5,,27.85,75.0062
62,9506.14702,,,1.13734e-08,,,,11373.4,,27.85,75.0062
63,9506.14802,,,7.92723e-09,,,,7927.23,,27.85,75.0062
64,9506.14902,,,4.65992e-09,,,,4659.92,,27.85,75.0062
65,9506.15002,,,1.83564e-09,,,,1835.64,,27.85,75.0062
66,9506.15102,,,-2.82776e-10,,,,-282.776,,27.85,75.0062
67,9506.15202,,,-1.43316e-09,,,,-1433.16,,27.85,75.0062
68,9506.15302,,,-1.36061e-09,,,,-1360.61,,27.85,75.0062
69,9506.15402,,,-2.09836e-11,,,,-20.9836,,27.85,75.0062
70,9506.15502,,,2.39617e-09,,,,2396.17,,27.85,75.0062
71,9506.15602,,,5.68974e-09,,,,5689.74,,27.85,75.0062
72,9506.15702,,,9.65004e-09,,,,9650.039999999999,,27.85,75.0062
73,9506.15802,,,1.40559e-08,,,,14055.9,,27.85,75.0062
74,9506.15902,,,1.86842e-08,,,,18684.2,,27.85,75.0062
75,9506.16002,,,2.33104e-08,,,,23310.4,,27.85,75.0062
76,9506.16103,,,2.7737e-08,,,,27737.0,,27.85,75.0062
77,9506.16203,,,3.18452e-08,,,,31845.2,,27.85,75.0062
78,9506.16303,,,3.5529e-08,,,,35529.0,,27.85,75.0062
79,9506.16403,,,3.86823e-08,,,,38682.299999999996,,27.85,75.0062
80,9506.16503,,,4.11988e-08,,,,41198.8,,27.85,75.0062
81,9506.16603,,,4.29719e-08,,,,42971.899999999994,,27.85,75.0062
82,9506.16703,,,4.39038e-08,,,,43903.8,,27.85,75.0062
83,9506.16803,,,4.39182e-08,,,,43918.200000000004,,27.85,75.0062
84,9506.16903,,,4.29495e-08,,,,42949.5,,27.85,75.0062
85,9506.17003,,,4.10841e-08,,,,41084.1,,27.85,75.0062
86,9506.17103,,,3.85635e-08,,,,38563.5,,27.85,75.0062
87,9506.17203,,,3.5636e-08,,,,35636.0,,27.85,75.0062
88,9506.17303,,,3.2549e-08,,,,32549.000000000004,,27.85,75.0062
89,9506.17403,,,2.95485e-08,,,,29548.5,,27.85,75.0062
90,9506.17503,,,2.68797e-08,,,,26879.7,,27.85,75.0062
91,9506.17603,,,2.47867e-08,,,,24786.7,,27.85,75.0062
92,9506.17703,,,2.35123e-08,,,,23512.3,,27.85,75.0062
93,9506.17804,,,2.32492e-08,,,,23249.2,,27.85,75.0062
94,9506.17904,,,2.39386e-08,,,,23938.6,,27.85,75.0062
95,9506.18004,,,2.5428e-08,,,,25428.0,,27.85,75.0062
96,9506.18104,,,2.75651e-08,,,,27565.100000000002,,27.85,75.0062
97,9506.18204,,,3.01979e-08,,,,30197.899999999998,,27.85,75.0062
