Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
0,9506.05898,,,1.38E-07,,1.00E+12,1.00E+08,-5151.36,-0.515136,27.85,300.0248,1.00E+06,0.138398
1,9506.05998,,,1.39E-07,,,,1374.83,0.137483,27.85,300.0248,,0.139106
2,9506.06099,,,1.41E-07,,,,6822.13,0.682213,27.85,300.0248,,0.140532
3,9506.06199,,,1.43E-07,,,,10073.6,1.00736,27.85,300.0248,,0.142575
4,9506.06299,,,1.45E-07,,,,10014.4,1.00144,27.85,300.0248,,0.145134
5,9506.06399,,,1.48E-07,,,,6446.89,0.644689,27.85,300.0248,,0.148105
6,9506.06499,,,1.51E-07,,,,1180.89,0.118089,27.85,300.0248,,0.151388
7,9506.06599,,,1.55E-07,,,,-3717.76,-0.371776,27.85,300.0248,,0.154888
8,9506.06699,,,1.59E-07,,,,-6211.13,-0.621113,27.85,300.0248,,0.158527
9,9506.06799,,,1.62E-07,,,,-5484.58,-0.548458,27.85,300.0248,,0.16228
10,9506.069,,,1.66E-07,,,,-2751.73,-0.275173,27.85,300.0248,,0.166142
11,9506.07,,,1.70E-07,,,,582.845,0.0582845,27.85,300.0248,,0.170104
12,9506.071,,,1.74E-07,,,,3133.3,0.31333,27.85,300.0248,,0.174162
13,9506.072,,,1.78E-07,,,,4144.89,0.414489,27.85,300.0248,,0.178306
14,9506.073,,,1.83E-07,,,,3515.55,0.351555,27.85,300.0248,,0.18253
15,9506.074,,,1.87E-07,,,,1176.85,0.117685,27.85,300.0248,,0.186827
16,9506.075,,,1.91E-07,,,,-2916.37,-0.291637,27.85,300.0248,,0.191184
17,9506.076,,,1.96E-07,,,,-8079.45,-0.807945,27.85,300.0248,,0.195573
18,9506.07701,,,2.00E-07,,,,-12695.1,-1.26951,27.85,300.0248,,0.199959
19,9506.07801,,,2.04E-07,,,,-15100.5,-1.51005,27.85,300.0248,,0.204309
20,9506.07901,,,2.09E-07,,,,-13713.6,-1.37136,27.85,300.0248,,0.208594
21,9506.08001,,,2.13E-07,,,,-8711.72,-0.871172,27.85,300.0248,,0.212784
22,9506.08101,,,2.17E-07,,,,-2038.48,-0.203848,27.85,300.0248,,0.216847
23,9506.08201,,,2.21E-07,,,,4268.57,0.426857,27.85,300.0248,,0.220753
24,9506.08301,,,2.24E-07,,,,8251.87,0.825187,27.85,300.0248,,0.224473
25,9506.08401,,,2.28E-07,,,,9409.61,0.940961,27.85,300.0248,,0.227976
26,9506.08502,,,2.31E-07,,,,8337,0.8337,27.85,300.0248,,0.231245
27,9506.08602,,,2.34E-07,,,,5673.36,0.567336,27.85,300.0248,,0.234266
28,9506.08702,,,2.37E-07,,,,2072.81,0.207281,27.85,300.0248,,0.237028
29,9506.08802,,,2.40E-07,,,,-1637.87,-0.163787,27.85,300.0248,,0.23952
30,9506.08902,,,2.42E-07,,,,-4461.78,-0.446178,27.85,300.0248,,0.24175
31,9506.09002,,,2.44E-07,,,,-5399.04,-0.539904,27.85,300.0248,,0.243742
32,9506.09102,,,2.46E-07,,,,-3485.01,-0.348501,27.85,300.0248,,0.24552
33,9506.09202,,,2.47E-07,,,,1039.19,0.103919,27.85,300.0248,,0.247111
34,9506.09303,,,2.49E-07,,,,6481.95,0.648195,27.85,300.0248,,0.248538
35,9506.09403,,,2.50E-07,,,,11051.2,1.10512,27.85,300.0248,,0.249828
36,9506.09503,,,2.51E-07,,,,12945.4,1.29454,27.85,300.0248,,0.251004
37,9506.09603,,,2.52E-07,,,,11369.3,1.13693,27.85,300.0248,,0.252093
38,9506.09703,,,2.53E-07,,,,7623.86,0.762386,27.85,300.0248,,0.253119
39,9506.09803,,,2.54E-07,,,,3268.95,0.326895,27.85,300.0248,,0.254109
40,9506.09903,,,2.55E-07,,,,-146.187,-0.0146187,27.85,300.0248,,0.255086
41,9506.10003,,,2.56E-07,,,,-1540.34,-0.154034,27.85,300.0248,,0.256077
42,9506.10104,,,2.57E-07,,,,-1230.79,-0.123079,27.85,300.0248,,0.257104
43,9506.10204,,,2.58E-07,,,,203.66,0.020366,27.85,300.0248,,0.258193
44,9506.10304,,,2.59E-07,,,,2185.08,0.218508,27.85,300.0248,,0.259368
45,9506.10404,,,2.61E-07,,,,4133.99,0.413399,27.85,300.0248,,0.260649
46,9506.10504,,,2.62E-07,,,,5582.47,0.558247,27.85,300.0248,,0.262049
47,9506.10604,,,2.64E-07,,,,6411.11,0.641111,27.85,300.0248,,0.263583
48,9506.10704,,,2.65E-07,,,,6566.96,0.656696,27.85,300.0248,,0.265264
49,9506.10804,,,2.67E-07,,,,5997.75,0.599775,27.85,300.0248,,0.267104
50,9506.10905,,,2.69E-07,,,,4683.96,0.468396,27.85,300.0248,,0.269114
51,9506.11005,,,2.71E-07,,,,2935.32,0.293532,27.85,300.0248,,0.271284
52,9506.11105,,,2.74E-07,,,,1254.06,0.125406,27.85,300.0248,,0.273602
53,9506.11205,,,2.76E-07,,,,143.247,0.0143247,27.85,300.0248,,0.276056
54,9506.11305,,,2.79E-07,,,,105.136,0.0105136,27.85,300.0248,,0.278635
55,9506.11405,,,2.81E-07,,,,1620.55,0.162055,27.85,300.0248,,0.281327
56,9506.11505,,,2.84E-07,,,,4586.51,0.458651,27.85,300.0248,,0.284127
57,9506.11605,,,2.87E-07,,,,8276.78,0.827678,27.85,300.0248,,0.287027
58,9506.11706,,,2.90E-07,,,,11931,1.1931,27.85,300.0248,,0.290023
59,9506.11806,,,2.93E-07,,,,14783.2,1.47832,27.85,300.0248,,0.293106
60,9506.11906,,,2.96E-07,,,,16176.9,1.61769,27.85,300.0248,,0.296279
61,9506.12006,,,3.00E-07,,,,16148.1,1.61481,27.85,300.0248,,0.299564
62,9506.12106,,,3.03E-07,,,,14997.1,1.49971,27.85,300.0248,,0.302991
63,9506.12206,,,3.07E-07,,,,13025.9,1.30259,27.85,300.0248,,0.306587
64,9506.12306,,,3.10E-07,,,,10537.2,1.05372,27.85,300.0248,,0.310381
65,9506.12406,,,3.14E-07,,,,7836.55,0.783655,27.85,300.0248,,0.314403
66,9506.12507,,,3.19E-07,,,,5247.46,0.524746,27.85,300.0248,,0.318686
67,9506.12607,,,3.23E-07,,,,3102.42,0.310242,27.85,300.0248,,0.323269
68,9506.12707,,,3.28E-07,,,,1736.97,0.173697,27.85,300.0248,,0.328192
69,9506.12807,,,3.33E-07,,,,1485.31,0.148531,27.85,300.0248,,0.333494
70,9506.12907,,,3.39E-07,,,,2385.05,0.238505,27.85,300.0248,,0.339214
71,9506.13007,,,3.45E-07,,,,3846.86,0.384686,27.85,300.0248,,0.345339
72,9506.13107,,,3.52E-07,,,,5200.14,0.520014,27.85,300.0248,,0.351806
73,9506.13207,,,3.59E-07,,,,5771.68,0.577168,27.85,300.0248,,0.358546
74,9506.13307,,,3.65E-07,,,,4892.03,0.489203,27.85,300.0248,,0.36549
75,9506.13408,,,3.73E-07,,,,2409.44,0.240944,27.85,300.0248,,0.372569
76,9506.13508,,,3.80E-07,,,,-867.437,-0.0867437,27.85,300.0248,,0.37971
