trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,n_y_self,y_self,gamma0_H2,n_gamma0_H2,delta0_H2,n_delta0_H2,SD_gamma_H2,n_gamma2_H2,SD_delta_H2,n_delta2_H2,nuVC_H2,n_nuVC_H2,eta_H2,y_H2_296,gamma0_CO2,n_gamma0_CO2,delta0_CO2,n_delta0_CO2,SD_gamma_CO2,n_gamma2_CO2,SD_delta_CO2,n_delta2_CO2,nuVC_CO2,n_nuVC_CO2,eta_CO2,y_CO2_296,gamma0_He,n_gamma0_He,delta0_He,n_delta0_He,SD_gamma_He,n_gamma2_He,SD_delta_He,n_delta2_He,nuVC_He,n_nuVC_He,eta_He,y_He_296,gamma0_H2O,n_gamma0_H2O,delta0_H2O,n_delta0_H2O,SD_gamma_H2O,n_gamma2_H2O,SD_delta_H2O,n_delta2_H2O,nuVC_H2O,n_nuVC_H2O,eta_H2O,y_H2O_296
10927934,2,1,9400.115122,3.39E-30,2.74E-05,2278.9963,155,153,2278.9963,       2 0 0 33,       0 0 0 01,               ,     R 76e     ,0.0578,0.66,-0.016073,0,0.090002037,0.66,0,0,0,1,0,0.005872,0.065,0.55,-0.015938,0,0.15,0.55,0,0,0,1,0,1,0.006176,0.0911,0.58,-0.016073,0,0.012269051,0.58,0,0,0,1,0,0,0.065,0.55,-0.015938,0,0.15,0.55,0,0,0,1,0,0,0.0532,0.58,-0.016073,0,0.14,0.58,0,0,0,1,0,0,0.1375,0.7,-0.016073,0,0.058098227,0.7,0,0,0,1,0,0
10927935,2,1,9400.162051,7.23E-30,0.0001842,2170.5469,29,31,2170.5469,       3 1 1 32,       1 1 1 01,               ,     P 15e     ,0.0752,0.69,-0.010203,0,0.082060681,0.69,0,0,0,1,0,0,0.102,0.7,-0.00954,0,0.1,0.7,0,0,0,1,0,1,0,0.1186,0.58,-0.010203,0,0.012269051,0.58,0,0,0,1,0,0,0.102,0.7,-0.00954,0,0.1,0.7,0,0,0,1,0,0,0.0584,0.617,-0.010203,0,0.127666667,0.617,0,0,0,1,0,0,0.1307,0.8,-0.010203,0,0.038732151,0.8,0,0,0,1,0,0
10927936,2,1,9400.252289,2.42E-30,0.0001894,1934.8203,3,5,1934.8203,       3 1 1 33,       1 1 1 02,               ,     P  2f     ,0.0903,0.69,-0.007278,0,0.082060681,0.69,0,0,0,1,0,0,0.123,0.76,-0.006805,0,0.08,0.76,0,0,0,1,0,1,0,0.1424,0.58,-0.007278,0,0.012269051,0.58,0,0,0,1,0,0,0.123,0.76,-0.006805,0,0.08,0.76,0,0,0,1,0,0,0.0672,0.707,-0.007278,0,0.097666667,0.707,0,0,0,1,0,0,0.1342,0.74,-0.007278,0,0.050351796,0.74,0,0,0,1,0,0
10927937,2,1,9400.32843,2.36E-29,0.0001905,2160.3091,87,89,2160.3091,       3 0 0 32,       1 0 0 01,               ,     P 44e     ,0.0666,0.74,-0.013006,0,0.068825087,0.74,0,0,0,1,0,0.004337,0.077,0.58,-0.013611,0,0.14,0.58,0,0,0,1,0,1,0.004956,0.105,0.58,-0.013006,0,0.012269051,0.58,0,0,0,1,0,0,0.077,0.58,-0.013611,0,0.14,0.58,0,0,0,1,0,0,0.0547,0.58,-0.013006,0,0.14,0.58,0,0,0,1,0,0,0.1464,0.79,-0.013006,0,0.040668759,0.79,0,0,0,1,0,0
10927938,2,2,9400.464964,3.61E-30,4.94E-05,650.8257,6,10,650.8257,       2 1 1 31,       0 1 1 01,               ,     P  2f     ,0.0903,0.69,-0.007278,0,0.080947484,0.69,0,0,0,1,0,0,0.123,0.76,-0.006805,0,0.08,0.76,0,0,0,1,0,1,0,0.1424,0.58,-0.007278,0,0.012007183,0.58,0,0,0,1,0,0,0.123,0.76,-0.006805,0,0.07909794,0.76,0,0,0,1,0,0,0.0672,0.707,-0.007278,0,0.097666667,0.707,0,0,0,1,0,0,0.1342,0.74,-0.007278,0,0.049549932,0.74,0,0,0,1,0,0
10927939,2,1,9400.630142,2.38E-30,2.26E-08,772.1106,87,89,772.1106,       3 1 1 21,       0 0 0 01,               ,     P 44e     ,0.0666,0.74,-0.011923,0,0.068825087,0.74,0,0,0,1,0,0,0.077,0.58,-0.012387,0,0.14,0.58,0,0,0,1,0,1,0,0.105,0.58,-0.011923,0,0.012269051,0.58,0,0,0,1,0,0,0.077,0.58,-0.012387,0,0.14,0.58,0,0,0,1,0,0,0.0547,0.58,-0.011923,0,0.14,0.58,0,0,0,1,0,0,0.1464,0.79,-0.011923,0,0.040668759,0.79,0,0,0,1,0,0
10927940,2,1,9400.658088,2.85E-30,1.15E-07,679.0989,13,11,679.0989,       5 1 1 11,       0 1 1 01,               ,     R  5e     ,0.0834,0.68,-0.005777,0,0.0847078,0.68,0,0,0,1,0,0.017316,0.114,0.71,-0.005773,0,0.096666667,0.71,0,0,0,1,0,1,0.023516,0.1315,0.58,-0.005777,0,0.012269051,0.58,0,0,0,1,0,0,0.114,0.71,-0.005773,0,0.096666667,0.71,0,0,0,1,0,0,0.0624,0.679,-0.005777,0,0.107,0.679,0,0,0,1,0,0,0.1293,0.77,-0.005777,0,0.044541974,0.77,0,0,0,1,0,0
10518375,2,3,9400.788649,1.89E-28,0.0001045,77.3135,27,29,77.3135,       2 0 0 32,       0 0 0 01,               ,     P 14e     ,0.0759,0.68,-0.010078,0,0.08244304,0.68,0,0,0,1,0,0.002261,0.103,0.7,-0.009361,0,0.1,0.7,0,0,0,1,0,1,0.003195,0.1197,0.58,-0.010078,0,0.01175686,0.58,0,0,0,1,0,0,0.103,0.7,-0.009361,0,0.097772657,0.7,0,0,0,1,0,0,0.0587,0.624,-0.010078,0,0.125333333,0.624,0,0,0,1,0,0,0.1301,0.79,-0.010078,0,0.039395252,0.79,0,0,0,1,0,0
10927941,2,1,9400.82144,1.99E-26,1.89E-05,133.4393,39,37,133.4393,       2 0 0 33,       0 0 0 01,               ,     R 18e     ,0.073,0.7,-0.009965,0,0.079413562,0.7,0,0,0,1,0,-0.001307,0.098,0.71,-0.009998,0,0.096666667,0.71,0,0,0,1,0,1,-0.002068,0.1151,0.58,-0.009965,0,0.012269051,0.58,0,0,0,1,0,0,0.098,0.71,-0.009998,0,0.096666667,0.71,0,0,0,1,0,0,0.0575,0.59,-0.009965,0,0.136666667,0.59,0,0,0,1,0,0,0.1334,0.81,-0.009965,0,0.036795544,0.81,0,0,0,1,0,0
10927942,2,4,9400.849227,1.02E-30,9.32E-05,911.4237,294,306,911.4237,       2 1 1 32,       0 1 1 01,               ,     P 25f     ,0.0705,0.72,-0.011273,0,0.073113006,0.72,0,0,0,1,0,0,0.093,0.67,-0.011121,0,0.11,0.67,0,0,0,1,0,1,0,0.1112,0.58,-0.011273,0,0.012006964,0.58,0,0,0,1,0,0,0.093,0.67,-0.011121,0,0.108758617,0.67,0,0,0,1,0,0,0.0565,0.58,-0.011273,0,0.14,0.58,0,0,0,1,0,0,0.1377,0.79,-0.011273,0,0.040020552,0.79,0,0,0,1,0,0
10927943,2,1,9400.860205,3.71E-29,8.40E-05,1856.587,71,73,1856.587,       2 2 2 32,       0 2 2 01,               ,     P 36e     ,0.068,0.74,-0.012304,0,0.068825087,0.74,0,0,0,1,0,0,0.084,0.61,-0.012607,0,0.13,0.61,0,0,0,1,0,1,0,0.1072,0.58,-0.012304,0,0.012269051,0.58,0,0,0,1,0,0,0.084,0.61,-0.012607,0,0.13,0.61,0,0,0,1,0,0,0.0553,0.58,-0.012304,0,0.14,0.58,0,0,0,1,0,0,0.1441,0.8,-0.012304,0,0.038732151,0.8,0,0,0,1,0,0
10927944,2,1,9400.863999,2.55E-30,2.81E-09,163.8684,39,41,163.8684,       1 2 2 32,       0 0 0 01,               ,     P 20e     ,0.0725,0.71,-0.010804,0,0.076766443,0.71,0,0,0,1,0,0,0.097,0.71,-0.01037,0,0.096666667,0.71,0,0,0,1,0,1,0,0.1143,0.58,-0.010804,0,0.012269051,0.58,0,0,0,1,0,0,0.097,0.71,-0.01037,0,0.096666667,0.71,0,0,0,1,0,0,0.0573,0.583,-0.010804,0,0.139,0.583,0,0,0,1,0,0,0.1341,0.8,-0.010804,0,0.038732151,0.8,0,0,0,1,0,0
10927945,2,2,9400.891414,2.40E-28,6.18E-05,7.8047,14,18,7.8047,       2 0 0 31,       0 0 0 01,               ,     P  4e     ,0.0862,0.69,-0.008151,0,0.080947484,0.69,0,0,0,1,0,-0.008916,0.118,0.73,-0.007292,0,0.09,0.73,0,0,0,1,0,1,-0.012131,0.1359,0.58,-0.008151,0,0.012007183,0.58,0,0,0,1,0,0,0.118,0.73,-0.007292,0,0.088985183,0.73,0,0,0,1,0,0,0.0642,0.693,-0.008151,0,0.102333333,0.693,0,0,0,1,0,0,0.1312,0.76,-0.008151,0,0.045738399,0.76,0,0,0,1,0,0
10927946,2,4,9400.950314,1.72E-30,0.0001009,964.6484,594,606,964.6484,       2 0 0 32,       0 0 0 01,               ,     P 50e     ,0.0655,0.74,-0.013509,0,0.067890649,0.74,0,0,0,1,0,0.004546,0.074,0.57,-0.014325,0,0.143333333,0.57,0,0,0,1,0,1,0.005056,0.1033,0.58,-0.013509,0,0.012006964,0.58,0,0,0,1,0,0,0.074,0.57,-0.014325,0,0.141715773,0.57,0,0,0,1,0,0,0.0544,0.58,-0.013509,0,0.14,0.58,0,0,0,1,0,0,0.1468,0.78,-0.013509,0,0.041926293,0.78,0,0,0,1,0,0
10927947,2,1,9401.122824,5.73E-30,2.69E-05,2161.6091,151,149,2161.6091,       2 0 0 33,       0 0 0 01,               ,     R 74e     ,0.0585,0.67,-0.015927,0,0.087354918,0.67,0,0,0,1,0,0.006909,0.065,0.55,-0.015807,0,0.15,0.55,0,0,0,1,0,1,0.00713,0.0922,0.58,-0.015927,0,0.012269051,0.58,0,0,0,1,0,0,0.065,0.55,-0.015807,0,0.15,0.55,0,0,0,1,0,0,0.0532,0.58,-0.015927,0,0.14,0.58,0,0,0,1,0,0,0.1386,0.71,-0.015927,0,0.056161619,0.71,0,0,0,1,0,0
10927948,2,1,9401.192909,1.67E-29,5.83E-05,2048.5469,117,119,2048.5469,       2 1 1 32,       0 1 1 01,               ,     P 59e     ,0.0635,0.72,-0.014223,0,0.074119325,0.72,0,0,0,1,0,0,0.069,0.56,-0.015288,0,0.146666667,0.56,0,0,0,1,0,1,0,0.1001,0.58,-0.014223,0,0.012269051,0.58,0,0,0,1,0,0,0.069,0.56,-0.015288,0,0.146666667,0.56,0,0,0,1,0,0,0.0539,0.58,-0.014223,0,0.14,0.58,0,0,0,1,0,0,0.1454,0.78,-0.014223,0,0.042605366,0.78,0,0,0,1,0,0
