trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
12384182,1,1,9100.029902,2.93E-26,0.0608,1724.7054,23,21,1724.7054,          0 1 2,          0 0 0, 11  4  8      , 10  5  5      ,0.0711,0.67,-0.03638,0,0.135660367,0.67,0,0,0,1,0,0,0.298,0.67,-0.03638,0,0.11,0.67,0,0,0,1,0,0,0
11184581,1,2,9100.042625,2.04E-29,0.08688,2152.1821,45,39,2152.1821,          2 0 1,          0 1 0,  7  2  6      ,  6  2  5      ,0.073,0.6,-0.02181,0,0.157708754,0.6,0,0,0,1,0,0,0.4,0.6,-0.02181,0,0.133333333,0.6,0,0,0,1,0,0,0
12384184,1,1,9100.115455,4.79E-24,0.01254,37.1371,5,3,37.1371,          0 1 2,          0 0 0,  2  2  0      ,  1  1  1      ,0.1027,0.75,-0.00738,0,0.102773005,0.75,0,0,0,1,0,0,0.54,0.75,-0.00738,0,0.083333333,0.75,0,0,0,1,0,0,0
12384185,1,1,9100.133194,4.98E-25,0.009855,931.2371,51,45,931.2371,          2 1 0,          0 0 0,  8  5  4      ,  7  4  3      ,0.0749,0.68,-0.02276,0,0.131549447,0.68,0,0,0,1,0,0,0.352,0.68,-0.02276,0,0.106666667,0.68,0,0,0,1,0,0,0
12384186,1,1,9100.201698,7.40E-25,0.01695,709.6082,15,15,709.6082,          0 1 2,          0 0 0,  7  3  5      ,  7  2  6      ,0.0727,0.61,-0.00118,0,0.160325888,0.61,0,0,0,1,0,0,0.268,0.61,-0.00118,0,0.13,0.61,0,0,0,1,0,0,0
11184586,1,2,9100.27737,2.32E-27,0.007313,604.7928,33,33,604.7928,          0 1 2,          0 0 0,  5  5  0      ,  5  4  1      ,0.078,0.66,-0.02048,0,0.134052441,0.66,0,0,0,1,0,0,0.317,0.66,-0.02048,0,0.113333333,0.66,0,0,0,1,0,0,0
11184589,1,2,9100.409984,3.25E-28,0.01487,1288.2672,63,63,1288.2672,          0 1 2,          0 0 0, 10  3  8      , 10  2  9      ,0.05,0.45,-0.01186,0,0.216849536,0.45,0,0,0,1,0,0,0.298,0.45,-0.01186,0,0.183333333,0.45,0,0,0,1,0,0,0
12384188,1,1,9100.410043,1.46E-28,0.004261,2181.0898,15,15,2181.0898,          2 0 1,          0 1 0,  7  1  6      ,  7  1  7      ,0.0736,0.61,-0.02669,0,0.160325888,0.61,0,0,0,1,0,0,0.352,0.61,-0.02669,0,0.13,0.61,0,0,0,1,0,0,0
11184590,1,2,9100.530297,7.75E-28,0.00731,604.5441,11,11,604.5441,          0 1 2,          0 0 0,  5  5  1      ,  5  4  2      ,0.0682,0.65,-0.02072,0,0.137995159,0.65,0,0,0,1,0,0,0.302,0.65,-0.02072,0,0.116666667,0.65,0,0,0,1,0,0,0
12384189,1,1,9100.658596,3.15E-26,0.07298,1821.5967,33,27,1821.5967,          2 0 1,          0 1 0,  5  1  5      ,  4  1  4      ,0.0871,0.69,-0.00913,0,0.127438526,0.69,0,0,0,1,0,0,0.634,0.69,-0.00913,0,0.103333333,0.69,0,0,0,1,0,0,0
12384190,1,1,9100.720153,3.95E-29,0.02958,2983.3963,29,29,2983.3963,          0 1 2,          0 0 0, 14  6  8      , 14  5  9      ,0.0703,0.62,-0.01043,0,0.156214968,0.62,0,0,0,1,0,0,0.235,0.62,-0.01043,0,0.126666667,0.62,0,0,0,1,0,0,0
11184593,1,4,9100.728803,1.52E-28,0.0009471,15.5082,30,18,15.5082,          0 4 1,          0 0 0,  2  1  2      ,  1  0  1      ,0.1043,0.79,-0.002458,0,0.084519182,0.79,0,0,0,1,0,0,0.395,0.79,-0.002458,0,0.07,0.79,0,0,0,1,0,0,0
11184596,1,4,9100.799591,1.05E-29,0.0001603,362.5072,66,78,362.5072,          1 2 1,          0 0 0,  5  2  4      ,  6  1  5      ,0.0845,0.79,-0.00619,0,0.084519182,0.79,0,0,0,1,0,0,0.394,0.79,-0.00619,0,0.07,0.79,0,0,0,1,0,0,0
11184597,1,4,9100.847353,1.24E-29,0.000161,362.5072,78,78,362.5072,          1 2 1,          0 0 0,  6  1  6      ,  6  1  5      ,0.0901,0.79,-0.0055,0,0.084519182,0.79,0,0,0,1,0,0,0.394,0.79,-0.0055,0,0.07,0.79,0,0,0,1,0,0,0
11184601,1,4,9101.318723,2.04E-29,0.004521,1024.5684,114,126,1024.5684,          3 1 0,          0 0 0,  9  3  6      , 10  3  7      ,0.055,0.79,-0.014488,0,0.084519182,0.79,0,0,0,1,0,0,0.34,0.79,-0.014488,0,0.07,0.79,0,0,0,1,0,0,0
12384196,1,1,9101.346661,1.96E-26,0.02639,1616.4531,21,21,1616.4531,          0 1 2,          0 0 0, 10  5  5      , 10  4  6      ,0.0807,0.7,-0.01453,0,0.123327606,0.7,0,0,0,1,0,0,0.4,0.7,-0.01453,0,0.1,0.7,0,0,0,1,0,0,0
12384197,1,1,9101.361872,5.00E-27,0.001383,1327.1176,25,23,1327.1176,          0 3 1,          0 0 0, 12  3 10      , 11  1 11      ,0.0414,0.4,-0.00902,0,0.246655212,0.4,0,0,0,1,0,0,0.281,0.4,-0.00902,0,0.2,0.4,0,0,0,1,0,0,0
12384198,1,1,9101.401136,2.31E-24,0.02351,542.9058,15,13,542.9058,          1 1 1,          0 0 0,  7  3  4      ,  6  1  5      ,0.0952,0.72,-0.005014,0,0.115105766,0.72,0,0,0,1,0,0,0.371,0.72,-0.005014,0,0.093333333,0.72,0,0,0,1,0,0,0
11184605,1,4,9101.422227,1.19E-28,0.003037,467.5145,66,78,467.5145,          1 2 1,          0 0 0,  5  3  3      ,  6  3  4      ,0.0851,0.79,-0.01395,0,0.084519182,0.79,0,0,0,1,0,0,0.394,0.79,-0.01395,0,0.07,0.79,0,0,0,1,0,0,0
11184607,1,2,9101.603366,7.38E-29,0.0008387,706.5978,15,15,706.5978,          2 1 0,          0 0 0,  7  5  3      ,  7  2  6      ,0.0759,0.66,-0.00131,0,0.134052441,0.66,0,0,0,1,0,0,0.325,0.66,-0.00131,0,0.113333333,0.66,0,0,0,1,0,0,0
12384200,1,1,9101.624806,3.02E-26,0.06737,1772.4134,27,21,1772.4134,          2 0 1,          0 1 0,  4  1  3      ,  3  1  2      ,0.1007,0.75,-0.00961,0,0.102773005,0.75,0,0,0,1,0,0,0.327,0.75,-0.00961,0,0.083333333,0.75,0,0,0,1,0,0,0
11184610,1,4,9101.695992,1.22E-29,0.002098,949.5773,102,114,949.5773,          0 4 1,          0 0 0,  8  4  5      ,  9  4  6      ,0.0694,0.79,-0.02349,0,0.084519182,0.79,0,0,0,1,0,0,0.351,0.79,-0.02349,0,0.07,0.79,0,0,0,1,0,0,0
12384202,1,1,9101.825592,3.77E-27,0.01197,1920.7664,39,33,1920.7664,          3 0 0,          0 1 0,  6  1  6      ,  5  0  5      ,0.0807,0.65,-0.01137,0,0.143882207,0.65,0,0,0,1,0,0,0.391,0.65,-0.01137,0,0.116666667,0.65,0,0,0,1,0,0,0
12384203,1,1,9101.841053,9.44E-29,0.2074,3383.2654,69,63,3383.2654,          2 0 1,          0 1 0, 11  5  7      , 10  5  6      ,0.0556,0.51,-0.03381,0,0.20143509,0.51,0,0,0,1,0,0,0.298,0.51,-0.03381,0,0.163333333,0.51,0,0,0,1,0,0,0
12384205,1,1,9101.953532,7.25E-27,0.3206,2612.7998,81,75,2612.7998,          1 1 1,          0 0 0, 13  7  7      , 12  7  6      ,0.0387,0.36,-0.02738,0,0.263098893,0.36,0,0,0,1,0,0,0.4,0.36,-0.02738,0,0.213333333,0.36,0,0,0,1,0,0,0
12384206,1,1,9101.960099,5.38E-28,1.019,3439.3066,105,99,3439.3066,          1 1 1,          0 0 0, 17  4 14      , 16  4 13      ,0.0213,0.14,-0.03243,0,0.353539138,0.14,0,0,0,1,0,0,0.208,0.14,-0.03243,0,0.286666667,0.14,0,0,0,1,0,0,0
11184616,1,3,9102.032572,9.54E-29,0.001624,415.128,78,66,415.128,          0 1 2,          0 0 0,  6  1  5      ,  5  2  4      ,0.0785,0.7,-0.01791,0,0.12074662,0.7,0,0,0,1,0,0,0.451,0.7,-0.01791,0,0.1,0.7,0,0,0,1,0,0,0
11184617,1,4,9102.044241,1.88E-28,0.00106,156.3823,66,54,156.3823,          2 0 1,          0 0 0,  5  1  5      ,  4  1  4      ,0.0951,0.79,-0.01368,0,0.084519182,0.79,0,0,0,1,0,0,0.537,0.79,-0.01368,0,0.07,0.79,0,0,0,1,0,0,0
12384208,1,1,9102.102551,4.30E-29,0.0001234,1772.4134,21,21,1772.4134,          2 0 1,          0 1 0,  3  3  1      ,  3  1  2      ,0.0964,0.74,-0.003262,0,0.106883925,0.74,0,0,0,1,0,0,0.434,0.74,-0.003262,0,0.086666667,0.74,0,0,0,1,0,0,0
11184620,1,2,9102.152672,4.74E-29,0.00327,1126.439,19,17,1126.439,          0 3 1,          0 0 0,  9  6  3      ,  8  4  4      ,0.0755,0.71,-0.01703,0,0.114338846,0.71,0,0,0,1,0,0,0.212,0.71,-0.01703,0,0.096666667,0.71,0,0,0,1,0,0,0
12384209,1,1,9102.197545,1.88E-27,8.58E-05,920.21,21,19,920.21,          1 3 0,          0 0 0, 10  4  6      ,  9  1  9      ,0.0798,0.7,-0.00705,0,0.123327606,0.7,0,0,0,1,0,0,0.315,0.7,-0.00705,0,0.1,0.7,0,0,0,1,0,0,0
12384210,1,1,9102.222315,7.72E-27,7.97E-05,742.0763,39,33,742.0763,          2 1 0,          0 0 0,  6  6  1      ,  5  5  0      ,0.0452,0.46,-0.02573,0,0.221989691,0.46,0,0,0,1,0,0,0.391,0.46,-0.02573,0,0.18,0.46,0,0,0,1,0,0,0
11184623,1,3,9102.224561,4.28E-28,0.002449,446.2676,270,234,446.2676,         -2-2-2,          0 0 0,  7 -2 -1      ,  6  1  6      ,0.0719,0.63,0,0,0.148920831,0.63,0,0,0,1,0,0,0.371,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0,0
12384211,1,1,9102.225058,2.58E-27,7.98E-05,742.073,13,11,742.073,          2 1 0,          0 0 0,  6  6  0      ,  5  5  1      ,0.0452,0.46,-0.0256,0,0.221989691,0.46,0,0,0,1,0,0,0.391,0.46,-0.0256,0,0.18,0.46,0,0,0,1,0,0,0
11184625,1,2,9102.273484,3.54E-28,0.0007261,325.2157,13,11,325.2157,          0 3 1,          0 0 0,  6  5  2      ,  5  1  5      ,0.0868,0.71,0.00467,0,0.114338846,0.71,0,0,0,1,0,0,0.4,0.71,0.00467,0,0.096666667,0.71,0,0,0,1,0,0,0
11184626,1,2,9102.30259,4.11E-27,0.007816,274.8032,11,9,274.8032,          0 1 2,          0 0 0,  5  2  4      ,  4  1  3      ,0.0943,0.72,-0.00117,0,0.110396128,0.72,0,0,0,1,0,0,0.412,0.72,-0.00117,0,0.093333333,0.72,0,0,0,1,0,0,0
